epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
63,144.419,0.16219,0.95035,0.99291,0.12622,3.05098e-05,3.05098e-05,3.05098e-05
64,146.563,0.16296,0.94326,0.99291,0.1283,2.97277e-05,2.97277e-05,2.97277e-05
65,148.705,0.15206,0.94326,0.99291,0.13477,2.89456e-05,2.89456e-05,2.89456e-05
66,150.83,0.14588,0.95035,0.99291,0.12915,2.81635e-05,2.81635e-05,2.81635e-05
67,153.008,0.15144,0.94326,0.99291,0.12671,2.73814e-05,2.73814e-05,2.73814e-05
68,155.15,0.14049,0.94326,0.99291,0.11389,2.65993e-05,2.65993e-05,2.65993e-05
69,157.257,0.13234,0.94326,0.99291,0.11841,2.58172e-05,2.58172e-05,2.58172e-05
70,159.391,0.13157,0.95035,0.99291,0.12036,2.50351e-05,2.50351e-05,2.50351e-05
71,161.589,0.15118,0.95035,0.99291,0.11499,2.4253e-05,2.4253e-05,2.4253e-05
72,163.803,0.12705,0.95035,0.99291,0.11401,2.34709e-05,2.34709e-05,2.34709e-05
73,165.963,0.12965,0.95035,0.99291,0.1095,2.26888e-05,2.26888e-05,2.26888e-05
74,168.193,0.1345,0.95035,0.99291,0.11292,2.19067e-05,2.19067e-05,2.19067e-05
75,170.454,0.13155,0.95035,0.99291,0.11163,2.11246e-05,2.11246e-05,2.11246e-05
76,172.738,0.12449,0.94326,0.99291,0.11401,2.03425e-05,2.03425e-05,2.03425e-05
77,174.929,0.12699,0.95035,0.99291,0.11163,1.95604e-05,1.95604e-05,1.95604e-05
78,177.239,0.15068,0.95035,0.99291,0.11029,1.87783e-05,1.87783e-05,1.87783e-05
79,179.476,0.14667,0.94326,0.99291,0.11395,1.79962e-05,1.79962e-05,1.79962e-05
80,181.666,0.12514,0.95035,0.99291,0.11151,1.72141e-05,1.72141e-05,1.72141e-05
81,183.963,0.11986,0.95745,0.99291,0.10742,1.6432e-05,1.6432e-05,1.6432e-05
82,186.208,0.1293,0.95745,0.99291,0.10632,1.56499e-05,1.56499e-05,1.56499e-05
83,188.494,0.14224,0.95745,0.99291,0.10614,1.48678e-05,1.48678e-05,1.48678e-05
84,190.739,0.153,0.95035,0.99291,0.10828,1.40857e-05,1.40857e-05,1.40857e-05
85,192.959,0.11627,0.95035,0.99291,0.10895,1.33036e-05,1.33036e-05,1.33036e-05
86,195.166,0.12714,0.95035,0.99291,0.10675,1.25215e-05,1.25215e-05,1.25215e-05
87,197.311,0.13572,0.95035,0.99291,0.11169,1.17394e-05,1.17394e-05,1.17394e-05
88,199.435,0.13087,0.95035,0.99291,0.11139,1.09573e-05,1.09573e-05,1.09573e-05
89,201.569,0.13368,0.95035,0.99291,0.11389,1.01752e-05,1.01752e-05,1.01752e-05
90,203.763,0.1237,0.95035,0.99291,0.11133,9.3931e-06,9.3931e-06,9.3931e-06
91,206.762,0.11647,0.95035,0.99291,0.11206,8.611e-06,8.611e-06,8.611e-06
92,209.116,0.13054,0.95035,0.99291,0.11194,7.8289e-06,7.8289e-06,7.8289e-06
93,211.264,0.12684,0.94326,0.99291,0.1167,7.0468e-06,7.0468e-06,7.0468e-06
94,213.434,0.14767,0.95035,0.99291,0.11108,6.2647e-06,6.2647e-06,6.2647e-06
95,215.594,0.14252,0.94326,0.99291,0.11212,5.4826e-06,5.4826e-06,5.4826e-06
96,217.773,0.13286,0.95035,0.99291,0.10956,4.7005e-06,4.7005e-06,4.7005e-06
97,219.876,0.13246,0.95035,0.99291,0.10876,3.9184e-06,3.9184e-06,3.9184e-06
98,222.019,0.12701,0.95035,0.99291,0.10828,3.1363e-06,3.1363e-06,3.1363e-06
99,224.186,0.14589,0.95035,0.99291,0.10956,2.3542e-06,2.3542e-06,2.3542e-06
100,226.311,0.11869,0.95035,0.99291,0.10999,1.5721e-06,1.5721e-06,1.5721e-06
