epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.05918,5.72036,0.00709,0.03546,5.25391,1.106e-05,1.106e-05,1.106e-05
2,6.32699,5.53083,0.00709,0.04255,5.16406,2.26832e-05,2.26832e-05,2.26832e-05
3,8.57131,5.33861,0.01418,0.06383,4.98828,3.40718e-05,3.40718e-05,3.40718e-05
4,10.7947,5.00386,0.04255,0.09929,4.71875,4.52257e-05,4.52257e-05,4.52257e-05
5,13.0721,4.58236,0.10638,0.23404,4.39062,5.6145e-05,5.6145e-05,5.6145e-05
6,15.3495,4.16732,0.15603,0.29787,3.98047,6.68297e-05,6.68297e-05,6.68297e-05
7,17.5778,3.74744,0.25532,0.58865,3.32617,7.43074e-05,7.43074e-05,7.43074e-05
8,19.8673,3.30572,0.32624,0.68085,2.78711,7.35253e-05,7.35253e-05,7.35253e-05
9,22.0886,2.81669,0.44681,0.79433,2.09961,7.27432e-05,7.27432e-05,7.27432e-05
10,24.4108,2.40877,0.69504,0.86525,1.53223,7.19611e-05,7.19611e-05,7.19611e-05
11,26.7693,2.02037,0.76596,0.92908,1.10449,7.1179e-05,7.1179e-05,7.1179e-05
12,29.0216,1.65003,0.8227,0.95745,0.81348,7.03969e-05,7.03969e-05,7.03969e-05
13,31.3106,1.31487,0.85106,0.98582,0.64062,6.96148e-05,6.96148e-05,6.96148e-05
14,33.5425,1.07361,0.87234,1,0.43555,6.88327e-05,6.88327e-05,6.88327e-05
15,35.7697,0.9195,0.9078,1,0.31274,6.80506e-05,6.80506e-05,6.80506e-05
16,37.9075,0.73403,0.92908,0.99291,0.24524,6.72685e-05,6.72685e-05,6.72685e-05
17,40.1588,0.64749,0.92908,0.99291,0.20935,6.64864e-05,6.64864e-05,6.64864e-05
18,42.5634,0.55384,0.93617,1,0.20386,6.57043e-05,6.57043e-05,6.57043e-05
19,44.8585,0.51428,0.92908,0.99291,0.19238,6.49222e-05,6.49222e-05,6.49222e-05
20,47.0307,0.48319,0.94326,0.99291,0.18762,6.41401e-05,6.41401e-05,6.41401e-05
21,49.3347,0.45356,0.93617,0.99291,0.17236,6.3358e-05,6.3358e-05,6.3358e-05
22,51.5244,0.42352,0.93617,0.99291,0.1759,6.25759e-05,6.25759e-05,6.25759e-05
23,53.7763,0.39877,0.94326,0.99291,0.16675,6.17938e-05,6.17938e-05,6.17938e-05
24,56.1848,0.35852,0.94326,0.99291,0.16272,6.10117e-05,6.10117e-05,6.10117e-05
25,58.6238,0.37325,0.93617,0.99291,0.16394,6.02296e-05,6.02296e-05,6.02296e-05
