epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
26,60.7778,0.31631,0.94326,0.99291,0.16187,5.94475e-05,5.94475e-05,5.94475e-05
27,63.0905,0.28941,0.94326,0.99291,0.16101,5.86654e-05,5.86654e-05,5.86654e-05
28,65.4085,0.27956,0.93617,0.99291,0.16223,5.78833e-05,5.78833e-05,5.78833e-05
29,67.541,0.24385,0.93617,0.99291,0.15723,5.71012e-05,5.71012e-05,5.71012e-05
30,69.6392,0.24515,0.94326,0.99291,0.14661,5.63191e-05,5.63191e-05,5.63191e-05
31,71.9274,0.26396,0.94326,0.99291,0.16089,5.5537e-05,5.5537e-05,5.5537e-05
32,74.1565,0.24986,0.94326,0.99291,0.15588,5.47549e-05,5.47549e-05,5.47549e-05
33,76.3685,0.24238,0.94326,0.99291,0.14856,5.39728e-05,5.39728e-05,5.39728e-05
34,78.5672,0.26176,0.95035,0.99291,0.14343,5.31907e-05,5.31907e-05,5.31907e-05
35,80.8565,0.23388,0.95035,0.99291,0.15332,5.24086e-05,5.24086e-05,5.24086e-05
36,83.149,0.22997,0.94326,0.99291,0.13586,5.16265e-05,5.16265e-05,5.16265e-05
37,85.2982,0.22329,0.94326,0.99291,0.14038,5.08444e-05,5.08444e-05,5.08444e-05
38,87.4417,0.20459,0.94326,0.99291,0.15173,5.00623e-05,5.00623e-05,5.00623e-05
39,89.6304,0.19189,0.94326,0.99291,0.15198,4.92802e-05,4.92802e-05,4.92802e-05
40,91.8329,0.19947,0.94326,0.99291,0.146,4.84981e-05,4.84981e-05,4.84981e-05
41,94.0858,0.20199,0.94326,0.99291,0.14636,4.7716e-05,4.7716e-05,4.7716e-05
42,96.2339,0.21327,0.94326,0.99291,0.13733,4.69339e-05,4.69339e-05,4.69339e-05
43,98.6403,0.19445,0.95035,0.99291,0.12347,4.61518e-05,4.61518e-05,4.61518e-05
44,100.893,0.20502,0.95035,0.99291,0.12622,4.53697e-05,4.53697e-05,4.53697e-05
45,103.215,0.20774,0.95035,0.99291,0.12561,4.45876e-05,4.45876e-05,4.45876e-05
46,105.488,0.19351,0.95035,0.99291,0.12274,4.38055e-05,4.38055e-05,4.38055e-05
47,107.845,0.1908,0.95035,0.99291,0.12366,4.30234e-05,4.30234e-05,4.30234e-05
48,110.05,0.17366,0.95035,0.99291,0.12317,4.22413e-05,4.22413e-05,4.22413e-05
49,112.29,0.16452,0.95035,0.99291,0.12433,4.14592e-05,4.14592e-05,4.14592e-05
50,114.592,0.19368,0.94326,0.99291,0.12311,4.06771e-05,4.06771e-05,4.06771e-05
51,116.734,0.16627,0.94326,0.99291,0.12903,3.9895e-05,3.9895e-05,3.9895e-05
52,118.951,0.18124,0.94326,0.99291,0.13269,3.91129e-05,3.91129e-05,3.91129e-05
53,121.178,0.15753,0.94326,0.99291,0.13696,3.83308e-05,3.83308e-05,3.83308e-05
54,123.522,0.16616,0.93617,0.99291,0.13635,3.75487e-05,3.75487e-05,3.75487e-05
55,125.654,0.15753,0.94326,0.98582,0.13391,3.67666e-05,3.67666e-05,3.67666e-05
56,127.774,0.15613,0.94326,0.99291,0.13367,3.59845e-05,3.59845e-05,3.59845e-05
57,129.926,0.15256,0.94326,0.99291,0.12903,3.52024e-05,3.52024e-05,3.52024e-05
58,132.055,0.1506,0.95035,0.99291,0.1261,3.44203e-05,3.44203e-05,3.44203e-05
59,134.294,0.13828,0.95035,0.99291,0.12939,3.36382e-05,3.36382e-05,3.36382e-05
60,136.5,0.16436,0.95035,0.99291,0.12891,3.28561e-05,3.28561e-05,3.28561e-05
61,138.706,0.15323,0.95035,0.99291,0.12976,3.2074e-05,3.2074e-05,3.2074e-05
62,140.89,0.14199,0.95035,0.99291,0.12878,3.12919e-05,3.12919e-05,3.12919e-05
63,143.091,0.16219,0.95035,0.99291,0.12622,3.05098e-05,3.05098e-05,3.05098e-05
64,145.27,0.16296,0.94326,0.99291,0.1283,2.97277e-05,2.97277e-05,2.97277e-05
65,147.41,0.15206,0.94326,0.99291,0.13477,2.89456e-05,2.89456e-05,2.89456e-05
66,149.527,0.14588,0.95035,0.99291,0.12915,2.81635e-05,2.81635e-05,2.81635e-05
67,151.75,0.15144,0.94326,0.99291,0.12671,2.73814e-05,2.73814e-05,2.73814e-05
68,154.005,0.14049,0.94326,0.99291,0.11389,2.65993e-05,2.65993e-05,2.65993e-05
69,156.193,0.13234,0.94326,0.99291,0.11841,2.58172e-05,2.58172e-05,2.58172e-05
70,158.269,0.13157,0.95035,0.99291,0.12036,2.50351e-05,2.50351e-05,2.50351e-05
71,160.507,0.15118,0.95035,0.99291,0.11499,2.4253e-05,2.4253e-05,2.4253e-05
72,162.818,0.12705,0.95035,0.99291,0.11401,2.34709e-05,2.34709e-05,2.34709e-05
73,164.999,0.12965,0.95035,0.99291,0.1095,2.26888e-05,2.26888e-05,2.26888e-05
74,167.172,0.1345,0.95035,0.99291,0.11292,2.19067e-05,2.19067e-05,2.19067e-05
75,169.419,0.13155,0.95035,0.99291,0.11163,2.11246e-05,2.11246e-05,2.11246e-05
76,171.633,0.12449,0.94326,0.99291,0.11401,2.03425e-05,2.03425e-05,2.03425e-05
77,173.779,0.12699,0.95035,0.99291,0.11163,1.95604e-05,1.95604e-05,1.95604e-05
78,176.006,0.15068,0.95035,0.99291,0.11029,1.87783e-05,1.87783e-05,1.87783e-05
79,178.202,0.14667,0.94326,0.99291,0.11395,1.79962e-05,1.79962e-05,1.79962e-05
80,180.312,0.12514,0.95035,0.99291,0.11151,1.72141e-05,1.72141e-05,1.72141e-05
81,182.577,0.11986,0.95745,0.99291,0.10742,1.6432e-05,1.6432e-05,1.6432e-05
82,184.855,0.1293,0.95745,0.99291,0.10632,1.56499e-05,1.56499e-05,1.56499e-05
83,187.118,0.14224,0.95745,0.99291,0.10614,1.48678e-05,1.48678e-05,1.48678e-05
84,189.352,0.153,0.95035,0.99291,0.10828,1.40857e-05,1.40857e-05,1.40857e-05
85,191.492,0.11627,0.95035,0.99291,0.10895,1.33036e-05,1.33036e-05,1.33036e-05
86,193.695,0.12714,0.95035,0.99291,0.10675,1.25215e-05,1.25215e-05,1.25215e-05
87,195.887,0.13572,0.95035,0.99291,0.11169,1.17394e-05,1.17394e-05,1.17394e-05
88,198.072,0.13087,0.95035,0.99291,0.11139,1.09573e-05,1.09573e-05,1.09573e-05
89,200.28,0.13368,0.95035,0.99291,0.11389,1.01752e-05,1.01752e-05,1.01752e-05
90,202.424,0.1237,0.95035,0.99291,0.11133,9.3931e-06,9.3931e-06,9.3931e-06
91,205.451,0.11647,0.95035,0.99291,0.11206,8.611e-06,8.611e-06,8.611e-06
92,207.831,0.13054,0.95035,0.99291,0.11194,7.8289e-06,7.8289e-06,7.8289e-06
93,210.089,0.12684,0.94326,0.99291,0.1167,7.0468e-06,7.0468e-06,7.0468e-06
94,212.278,0.14767,0.95035,0.99291,0.11108,6.2647e-06,6.2647e-06,6.2647e-06
95,214.589,0.14252,0.94326,0.99291,0.11212,5.4826e-06,5.4826e-06,5.4826e-06
96,216.769,0.13286,0.95035,0.99291,0.10956,4.7005e-06,4.7005e-06,4.7005e-06
97,219.044,0.13246,0.95035,0.99291,0.10876,3.9184e-06,3.9184e-06,3.9184e-06
98,221.243,0.12701,0.95035,0.99291,0.10828,3.1363e-06,3.1363e-06,3.1363e-06
99,223.485,0.14589,0.95035,0.99291,0.10956,2.3542e-06,2.3542e-06,2.3542e-06
100,225.678,0.11869,0.95035,0.99291,0.10999,1.5721e-06,1.5721e-06,1.5721e-06
